intervals,technique,fold,horizon,cosine,rmse,er_pred,er_actual
75,nav,9,12,0.07020216392992984,6.736493575570368,5.752103180209152,4.3093610230777575
75,nav,0,13,0.03149295675088715,4.640681223939242,4.458930675150767,3.942581851835944
75,nav,1,13,0.01577376567945965,3.254982973248654,4.800023571534994,4.111118552934551
75,nav,2,13,0.046226015612251814,5.687743771061326,4.680190560707973,4.047962009604492
75,nav,3,13,0.024417150201764604,4.298276085242144,4.716221959630045,4.108971004641175
75,nav,4,13,0.02773791899007838,3.928817842663587,5.587466911373652,4.727099647399969
75,nav,5,13,0.022791366412548753,3.9657017189214807,5.004189968197676,4.4039336870562895
75,nav,6,13,0.04248154940774318,5.640127347975169,5.147771053745473,4.190335878175664
75,nav,7,13,0.04893112742877126,5.539478419905025,5.726339942734476,4.397161664618012
75,nav,8,13,0.04419681668008235,5.04347126677106,5.850870027544663,4.8092273012354765
75,nav,9,13,0.021697233583541697,3.5140436643947175,6.008823452267449,4.721859584796138
75,nav,0,14,0.012038912466842522,2.769542681864041,4.558556167893991,4.15779297336246
75,nav,1,14,0.03161495430769523,4.647642745562422,4.504997109704709,3.942581851835944
75,nav,2,14,0.016550397707575493,3.328515760547015,4.800085996572052,4.111118552934551
75,nav,3,14,0.047002823416125605,5.731017592692779,4.688286826502263,4.047962009604492
75,nav,4,14,0.024746924900970302,4.3288975042364335,4.71671135404602,4.108971004641175
75,nav,5,14,0.0272258895985531,3.89653217142666,5.586875504532575,4.727099647399969
75,nav,6,14,0.021503035587291497,3.8868693923380784,5.098648542211272,4.4039336870562895
75,nav,7,14,0.0419431219493942,5.624538520420519,5.1407598970478565,4.190335878175664
75,nav,8,14,0.04821424327487944,5.5092000288996426,5.723932127909522,4.397161664618012
75,nav,9,14,0.04229462228459091,4.945186694044856,6.049671489665468,4.8092273012354765
75,nav,0,15,0.023407791992811178,3.634453955624635,5.00094874701193,4.355436756058691
75,nav,1,15,0.012354776731571926,2.798953944080173,4.640648137286609,4.15779297336246
